Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","01330","Grapes","2023","2023","t","1757891","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01252","Green garlic","2023","2023","t","184844","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0142","Groundnuts, excluding shelled","2023","2023","t","875205","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01922.01","Jute, raw or retted","2023","2023","t","40","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01922.02","Kenaf, and other textile bast fibres, raw or retted","2023","2023","t","3057","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01322","Lemons and limes","2023","2023","t","1724330","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01441","Linseed","2023","2023","t","4460","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2023","2023","t","131950246","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01316","Mangoes, guavas and mangosteens","2023","2023","t","2340950","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01630","Maté leaves","2023","2023","t","736893","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01950.01","Natural rubber in primary forms","2023","2023","t","278000","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0117","Oats","2023","2023","t","907046","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01491.01","Oil palm fruit","2023","2023","t","2898435","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01450","Olives","2023","2023","t","6864","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","t","1639970","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01323","Oranges","2023","2023","t","17615667","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01929.90","Other fibre crops, raw, n.e.c.","2023","2023","t","102615.95","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2023","2023","t","2963.14","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01449.90","Other oil seeds, n.e.c.","2023","2023","t","52953.93","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01349.20","Other stone fruits","2023","2023","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01319","Other tropical fruits, n.e.c.","2023","2023","t","2407763","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01290.90","Other vegetables, fresh n.e.c.","2023","2023","t","3085462.59","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01317","Papayas","2023","2023","t","1138343","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01345","Peaches and nectarines","2023","2023","t","200710","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01342.01","Pears","2023","2023","t","15681","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01705","Peas, dry","2023","2023","t","2799","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01651","Pepper (Piper spp.), raw","2023","2023","t","126548","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01359.01","Persimmons","2023","2023","t","165344","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01318","Pineapples","2023","2023","t","2387393","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01321","Pomelos and grapefruits","2023","2023","t","84724.5","E","Estimated value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01510","Potatoes","2023","2023","t","4188704","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01930.02","Pyrethrum, dried flowers","2023","2023","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01342.02","Quinces","2023","2023","t","481","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01929.04","Ramie, raw or retted","2023","2023","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01443","Rape or colza seed","2023","2023","t","178000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2023","2023","t","10285663","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0116","Rye","2023","2023","t","7084","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01921.01","Seed cotton, unginned","2023","2023","t","7496603","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01444","Sesame seed","2023","2023","t","289000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","076","Brazil","5510","Production","01929.05","Sisal, raw","2023","2023","t","95567","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0114","Sorghum","2023","2023","t","4498299","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0141","Soya beans","2023","2023","t","152144238","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01354","Strawberries","2023","2023","t","187795.78","I","Imputed value",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01802","Sugar cane","2023","2023","t","782585836","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01445","Sunflower seed","2023","2023","t","87051","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01530","Sweet potatoes","2023","2023","t","925618","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01324","Tangerines, mandarins, clementines","2023","2023","t","1052222","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01620","Tea leaves","2023","2023","t","2011","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01234","Tomatoes","2023","2023","t","4166017","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01191","Triticale","2023","2023","t","58914","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01499.02","Tung nuts","2023","2023","t","159","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01970","Unmanufactured tobacco","2023","2023","t","683469","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01376","Walnuts, in shell","2023","2023","t","7194","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01221","Watermelons","2023","2023","t","1781971","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0111","Wheat","2023","2023","t","7730188","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01540","Yams","2023","2023","t","253884.52","I","Imputed value",""
